Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture)
540,0,0,162,2.5,1040,676
540,0,0,162,2.5,1055,676
332.5,142.5,0,228,0,932,594
332.5,142.5,0,228,0,932,594
198.6,132.4,0,192,0,978.4,825.5
266,114,0,228,0,932,670
380,95,0,228,0,932,594
380,95,0,228,0,932,594
266,114,0,228,0,932,670
475,0,0,228,0,932,594
198.6,132.4,0,192,0,978.4,825.5
198.6,132.4,0,192,0,978.4,825.5
427.5,47.5,0,228,0,932,594
190,190,0,228,0,932,670
304,76,0,228,0,932,670
380,0,0,228,0,932,670
139.6,209.4,0,192,0,1047,806.9
342,38,0,228,0,932,670
380,95,0,228,0,932,594
475,0,0,228,0,932,594
427.5,47.5,0,228,0,932,594
139.6,209.4,0,192,0,1047,806.9
139.6,209.4,0,192,0,1047,806.9
139.6,209.4,0,192,0,1047,806.9
380,0,0,228,0,932,670
380,0,0,228,0,932,670
380,95,0,228,0,932,594
342,38,0,228,0,932,670
427.5,47.5,0,228,0,932,594
475,0,0,228,0,932,594
304,76,0,228,0,932,670
266,114,0,228,0,932,670
198.6,132.4,0,192,0,978.4,825.5
475,0,0,228,0,932,594
190,190,0,228,0,932,670
237.5,237.5,0,228,0,932,594
237.5,237.5,0,228,0,932,594
332.5,142.5,0,228,0,932,594
475,0,0,228,0,932,594
237.5,237.5,0,228,0,932,594
342,38,0,228,0,932,670
427.5,47.5,0,228,0,932,594
237.5,237.5,0,228,0,932,594
380,0,0,228,0,932,670
427.5,47.5,0,228,0,932,594
427.5,47.5,0,228,0,932,594
349,0,0,192,0,1047,806.9
380,95,0,228,0,932,594
237.5,237.5,0,228,0,932,594
380,95,0,228,0,932,594
332.5,142.5,0,228,0,932,594
190,190,0,228,0,932,670
237.5,237.5,0,228,0,932,594
304,76,0,228,0,932,670
139.6,209.4,0,192,0,1047,806.9
198.6,132.4,0,192,0,978.4,825.5
475,0,0,228,0,932,594
198.6,132.4,0,192,0,978.4,825.5
304,76,0,228,0,932,670
332.5,142.5,0,228,0,932,594
304,76,0,228,0,932,670
266,114,0,228,0,932,670
310,0,0,192,0,971,850.6
190,190,0,228,0,932,670
266,114,0,228,0,932,670
342,38,0,228,0,932,670
139.6,209.4,0,192,0,1047,806.9
332.5,142.5,0,228,0,932,594
190,190,0,228,0,932,670
485,0,0,146,0,1120,800
374,189.2,0,170.1,10.1,926.1,756.7
313.3,262.2,0,175.5,8.6,1046.9,611.8
425,106.3,0,153.5,16.5,852.1,887.1
425,106.3,0,151.4,18.6,936,803.7
375,93.8,0,126.6,23.4,852.1,992.6
475,118.8,0,181.1,8.9,852.1,781.5
469,117.2,0,137.8,32.2,852.1,840.5
425,106.3,0,153.5,16.5,852.1,887.1
388.6,97.1,0,157.9,12.1,852.1,925.7
531.3,0,0,141.8,28.2,852.1,893.7
425,106.3,0,153.5,16.5,852.1,887.1
318.8,212.5,0,155.7,14.3,852.1,880.4
401.8,94.7,0,147.4,11.4,946.8,852.1
362.6,189,0,164.9,11.6,944.7,755.8
323.7,282.8,0,183.8,10.3,942.7,659.9
379.5,151.2,0,153.9,15.9,1134.3,605
362.6,189,0,164.9,11.6,944.7,755.8
286.3,200.9,0,144.7,11.2,1004.6,803.7
362.6,189,0,164.9,11.6,944.7,755.8
439,177,0,186,11.1,884.9,707.9
389.9,189,0,145.9,22,944.7,755.8
362.6,189,0,164.9,11.6,944.7,755.8
337.9,189,0,174.9,9.5,944.7,755.8
374,189.2,0,170.1,10.1,926.1,756.7
313.3,262.2,0,175.5,8.6,1046.9,611.8
425,106.3,0,153.5,16.5,852.1,887.1
425,106.3,0,151.4,18.6,936,803.7
375,93.8,0,126.6,23.4,852.1,992.6
475,118.8,0,181.1,8.9,852.1,781.5
469,117.2,0,137.8,32.2,852.1,840.5
425,106.3,0,153.5,16.5,852.1,887.1
388.6,97.1,0,157.9,12.1,852.1,925.7
531.3,0,0,141.8,28.2,852.1,893.7
425,106.3,0,153.5,16.5,852.1,887.1
318.8,212.5,0,155.7,14.3,852.1,880.4
401.8,94.7,0,147.4,11.4,946.8,852.1
362.6,189,0,164.9,11.6,944.7,755.8
323.7,282.8,0,183.8,10.3,942.7,659.9
379.5,151.2,0,153.9,15.9,1134.3,605
362.6,189,0,164.9,11.6,944.7,755.8
286.3,200.9,0,144.7,11.2,1004.6,803.7
362.6,189,0,164.9,11.6,944.7,755.8
439,177,0,186,11.1,884.9,707.9
389.9,189,0,145.9,22,944.7,755.8
362.6,189,0,164.9,11.6,944.7,755.8
337.9,189,0,174.9,9.5,944.7,755.8
374,189.2,0,170.1,10.1,926.1,756.7
313.3,262.2,0,175.5,8.6,1046.9,611.8
425,106.3,0,153.5,16.5,852.1,887.1
425,106.3,0,151.4,18.6,936,803.7
375,93.8,0,126.6,23.4,852.1,992.6
475,118.8,0,181.1,8.9,852.1,781.5
469,117.2,0,137.8,32.2,852.1,840.5
425,106.3,0,153.5,16.5,852.1,887.1
388.6,97.1,0,157.9,12.1,852.1,925.7
531.3,0,0,141.8,28.2,852.1,893.7
425,106.3,0,153.5,16.5,852.1,887.1
318.8,212.5,0,155.7,14.3,852.1,880.4
401.8,94.7,0,147.4,11.4,946.8,852.1
362.6,189,0,164.9,11.6,944.7,755.8
323.7,282.8,0,183.8,10.3,942.7,659.9
379.5,151.2,0,153.9,15.9,1134.3,605
362.6,189,0,164.9,11.6,944.7,755.8
286.3,200.9,0,144.7,11.2,1004.6,803.7
362.6,189,0,164.9,11.6,944.7,755.8
439,177,0,186,11.1,884.9,707.9
389.9,189,0,145.9,22,944.7,755.8
362.6,189,0,164.9,11.6,944.7,755.8
337.9,189,0,174.9,9.5,944.7,755.8
374,189.2,0,170.1,10.1,926.1,756.7
313.3,262.2,0,175.5,8.6,1046.9,611.8
425,106.3,0,153.5,16.5,852.1,887.1
425,106.3,0,151.4,18.6,936,803.7
375,93.8,0,126.6,23.4,852.1,992.6
475,118.8,0,181.1,8.9,852.1,781.5
469,117.2,0,137.8,32.2,852.1,840.5
425,106.3,0,153.5,16.5,852.1,887.1
388.6,97.1,0,157.9,12.1,852.1,925.7
531.3,0,0,141.8,28.2,852.1,893.7
425,106.3,0,153.5,16.5,852.1,887.1
318.8,212.5,0,155.7,14.3,852.1,880.4
401.8,94.7,0,147.4,11.4,946.8,852.1
362.6,189,0,164.9,11.6,944.7,755.8
323.7,282.8,0,183.8,10.3,942.7,659.9
379.5,151.2,0,153.9,15.9,1134.3,605
362.6,189,0,164.9,11.6,944.7,755.8
286.3,200.9,0,144.7,11.2,1004.6,803.7
362.6,189,0,164.9,11.6,944.7,755.8
439,177,0,186,11.1,884.9,707.9
389.9,189,0,145.9,22,944.7,755.8
362.6,189,0,164.9,11.6,944.7,755.8
337.9,189,0,174.9,9.5,944.7,755.8
374,189.2,0,170.1,10.1,926.1,756.7
313.3,262.2,0,175.5,8.6,1046.9,611.8
425,106.3,0,153.5,16.5,852.1,887.1
425,106.3,0,151.4,18.6,936,803.7
375,93.8,0,126.6,23.4,852.1,992.6
475,118.8,0,181.1,8.9,852.1,781.5
469,117.2,0,137.8,32.2,852.1,840.5
425,106.3,0,153.5,16.5,852.1,887.1
388.6,97.1,0,157.9,12.1,852.1,925.7
531.3,0,0,141.8,28.2,852.1,893.7
425,106.3,0,153.5,16.5,852.1,887.1
318.8,212.5,0,155.7,14.3,852.1,880.4
401.8,94.7,0,147.4,11.4,946.8,852.1
362.6,189,0,164.9,11.6,944.7,755.8
379.5,151.2,0,153.9,15.9,1134.3,605
362.6,189,0,164.9,11.6,944.7,755.8
286.3,200.9,0,144.7,11.2,1004.6,803.7
362.6,189,0,164.9,11.6,944.7,755.8
439,177,0,186,11.1,884.9,707.9
389.9,189,0,145.9,22,944.7,755.8
362.6,189,0,164.9,11.6,944.7,755.8
337.9,189,0,174.9,9.5,944.7,755.8
222.4,0,96.7,189.3,4.5,967.1,870.3
222.4,0,96.7,189.3,4.5,967.1,870.3
222.4,0,96.7,189.3,4.5,967.1,870.3
222.4,0,96.7,189.3,4.5,967.1,870.3
222.4,0,96.7,189.3,4.5,967.1,870.3
233.8,0,94.6,197.9,4.6,947,852.2
233.8,0,94.6,197.9,4.6,947,852.2
233.8,0,94.6,197.9,4.6,947,852.2
233.8,0,94.6,197.9,4.6,947,852.2
233.8,0,94.6,197.9,4.6,947,852.2
194.7,0,100.5,165.6,7.5,1006.4,905.9
194.7,0,100.5,165.6,7.5,1006.4,905.9
194.7,0,100.5,165.6,7.5,1006.4,905.9
194.7,0,100.5,165.6,7.5,1006.4,905.9
194.7,0,100.5,165.6,7.5,1006.4,905.9
190.7,0,125.4,162.1,7.8,1090,804
190.7,0,125.4,162.1,7.8,1090,804
190.7,0,125.4,162.1,7.8,1090,804
190.7,0,125.4,162.1,7.8,1090,804
190.7,0,125.4,162.1,7.8,1090,804
212.1,0,121.6,180.3,5.7,1057.6,779.3
212.1,0,121.6,180.3,5.7,1057.6,779.3
212.1,0,121.6,180.3,5.7,1057.6,779.3
212.1,0,121.6,180.3,5.7,1057.6,779.3
212.1,0,121.6,180.3,5.7,1057.6,779.3
230,0,118.3,195.5,4.6,1029.4,758.6
230,0,118.3,195.5,4.6,1029.4,758.6
230,0,118.3,195.5,4.6,1029.4,758.6
230,0,118.3,195.5,4.6,1029.4,758.6
230,0,118.3,195.5,4.6,1029.4,758.6
190.3,0,125.2,161.9,9.9,1088.1,802.6
190.3,0,125.2,161.9,9.9,1088.1,802.6
190.3,0,125.2,161.9,9.9,1088.1,802.6
190.3,0,125.2,161.9,9.9,1088.1,802.6
190.3,0,125.2,161.9,9.9,1088.1,802.6
166.1,0,163.3,176.5,4.5,1058.6,780.1
166.1,0,163.3,176.5,4.5,1058.6,780.1
166.1,0,163.3,176.5,4.5,1058.6,780.1
166.1,0,163.3,176.5,4.5,1058.6,780.1
166.1,0,163.3,176.5,4.5,1058.6,780.1
168,42.1,163.8,121.8,5.7,1058.7,780.1
168,42.1,163.8,121.8,5.7,1058.7,780.1
168,42.1,163.8,121.8,5.7,1058.7,780.1
168,42.1,163.8,121.8,5.7,1058.7,780.1
168,42.1,163.8,121.8,5.7,1058.7,780.1
213.7,98.1,24.5,181.7,6.9,1065.8,785.4
213.7,98.1,24.5,181.7,6.9,1065.8,785.4
213.7,98.1,24.5,181.7,6.9,1065.8,785.4
213.7,98.1,24.5,181.7,6.9,1065.8,785.4
213.7,98.1,24.5,181.7,6.9,1065.8,785.4
213.8,98.1,24.5,181.7,6.7,1066,785.5
213.8,98.1,24.5,181.7,6.7,1066,785.5
213.8,98.1,24.5,181.7,6.7,1066,785.5
213.8,98.1,24.5,181.7,6.7,1066,785.5
213.8,98.1,24.5,181.7,6.7,1066,785.5
229.7,0,118.2,195.2,6.1,1028.1,757.6
229.7,0,118.2,195.2,6.1,1028.1,757.6
229.7,0,118.2,195.2,6.1,1028.1,757.6
229.7,0,118.2,195.2,6.1,1028.1,757.6
229.7,0,118.2,195.2,6.1,1028.1,757.6
238.1,0,94.1,186.7,7,949.9,847
238.1,0,94.1,186.7,7,949.9,847
238.1,0,94.1,186.7,7,949.9,847
238.1,0,94.1,186.7,7,949.9,847
238.1,0,94.1,186.7,7,949.9,847
250,0,95.7,187.4,5.5,956.9,861.2
250,0,95.7,187.4,5.5,956.9,861.2
250,0,95.7,187.4,5.5,956.9,861.2
250,0,95.7,187.4,5.5,956.9,861.2
250,0,95.7,187.4,5.5,956.9,861.2
212.5,0,100.4,159.3,8.7,1007.8,903.6
212.5,0,100.4,159.3,8.7,1007.8,903.6
212.5,0,100.4,159.3,8.7,1007.8,903.6
212.5,0,100.4,159.3,8.7,1007.8,903.6
212.5,0,100.4,159.3,8.7,1007.8,903.6
212.6,0,100.4,159.4,10.4,1003.8,903.8
212.6,0,100.4,159.4,10.4,1003.8,903.8
